y,x,corr,sig
resi_after_abs,energy_intensity,-0.105600425,0.39505182
resi_after_abs,electri_consump_all,0.121357056,0.331714803
resi_after_abs,electri_consump_resi,0.085060624,0.497096886
resi_after_abs,electri_consump_service,0.16475888,0.21239678
resi_after_abs,electri_consump_indus,0.053692822,0.668522053
resi_after_abs,coal_consump,0.027968144,0.832009896
resi_after_abs,gas_consumption,0.324448784,0.010740806
resi_after_abs,oil_consumption,0.269431122,0.048817759
resi_after_abs,electri_produce,0.081451291,0.522281791
resi_after_abs,coal_produce,-0.070723678,0.625510834
resi_after_abs,gas_produce,0.072495109,0.656647833
resi_after_abs,electri_clean,-0.13244082,0.385794854
resi_after_abs,industry_resi_all_abs,0.38406896,0.001333845
resi_after_abs,industry_resi_in_abs,0.303425157,0.012558416
resi_after_abs,industry_resi_after_abs,0.425789201,0.000327846
resi_after_abs,industry_extreme,0.371289747,0.001979244
extreme,duration,-0.118048004,0.341395002
extreme,num_positive,-0.216113813,0.081363035
extreme,season,-0.382674404,0.001393618
extreme,gdp,0.146252372,0.237618102
extreme,gdp-2,0.174181264,0.158626479
extreme,gdp-3,0.141421212,0.253642631
extreme,pop,0.113432429,0.360734772
extreme,gdp_pop,0.113432429,0.360734772
extreme,pop_density,0.126628282,0.307202854
extreme,location geographic,0.019839461,0.873391112
extreme,location economic,0.097166849,0.434078881
extreme,energy_consumption,0.105733818,0.401881162
extreme,energy_intensity,-0.148523758,0.230330844
extreme,electri_consump_all,0.060398485,0.629987404
extreme,electri_consump_resi,0.063823572,0.610669639
extreme,electri_consump_service,0.078245624,0.555820422
extreme,electri_consump_indus,0.09203877,0.462338178
extreme,coal_consump,0.196880633,0.131618404
extreme,gas_consumption,0.215884466,0.09472207
extreme,oil_consumption,0.290831499,0.032882624
extreme,electri_produce,0.137619843,0.278174417
extreme,coal_produce,-0.000993742,0.994535261
extreme,gas_produce,-0.00272339,0.986693451
extreme,electri_clean,-0.00742036,0.961415654
extreme,industry_resi_all_abs,0.313063086,0.009894294
extreme,industry_resi_in_abs,0.307864227,0.011262841
extreme,industry_resi_after_abs,0.274203043,0.024740087
extreme,industry_extreme,0.394089358,0.00096794
