date,year,city,state,used,type,city_cn,state_cn,pre_lag,pos_lag,number_confirm,number_infect,Economy,Power,Indus,Pop,Trans-P,Trans-C
5月9日至5月23日,2022,Guangan,Sichuan,0,NA,广安,四川,60,30,,1050,1425-56700,79.11-3447.1,444.2-21157,323.8-8400,323.8-8400,3270-172300
6月27日至7月5日,2022,Suuzhou,Anhui,0,NA,宿州,安徽,60,30,,1802,2224.6-45000,110-2715.5,771.6-18588,530-6127,530-6127,21000-246000
7月12日至8月15日,2022,Beihai,Guangxi,0,NA,北海,广西,60,30,551,3206,1674.2-26300,101.56-2236,761.5-8938.6,187.24-5047,187.24-5047,6322-145300
8月31日至9月19日,2022,Guiyang,Guizhou,1,3,贵阳,贵州,60,30,64,1325,4921.2-20020,270-1586.06,1739.57-7113,622-3856,622-3856,85584-97000
3月1日至3月24日,2022,Qingdao,Shandong,1,2,青岛,山东,60,30,317,,14900-87400,552.65-7383,5197.3-35014,1034.2-10020,1034.2-10020,36400-308600
1月18日至4月8日,2020,Wuhan,Hubei,1,1,武汉,湖北,60,30,,45346,"15616.06-43000, 17700-50010, 18900-53700",5484-17316,5557.47-15616.06,1373.9-5844,1373.9-5844,67089-214800
1月21日至3月14日,2020,Hunan 1,Hunan,1,2,湖南,湖南,60,30,1018,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至3月15日,2020,Tianjin 3,Tianjin,1,2,天津,天津,60,30,136,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至3月19日,2020,Sichuan,Sichuan,1,3,四川,四川,60,30,540,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至3月20日,2020,Chongqing 1,Chongqing,1,4,重庆,重庆,60,30,576,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至3月22日,2020,Zhejiang,Zhejiang,1,4,浙江,浙江,60,30,1217,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至3月24日,2020,Shandong,Shandong,1,2,山东,山东,60,30,759,,100-100,100-100,100-100,100-100,100-100,100-100
1月21日至4月13日,2020,Henan,Henan,1,2,河南,河南,60,30,1273,,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至3月7日,2020,Fujian 1,Fujian,1,2,福建,福建,60,30,296,,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至3月8日,2020,Anhui,Anhui,1,2,安徽,安徽,60,30,>986,,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至3月14日,2020,Jiangsu,Jiangsu,1,2,江苏,江苏,60,30,631,,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至4月6日,2020,Hebei,Hebei,1,2,河北,河北,60,30,312,,100-100,100-100,100-100,100-100,100-100,100-100
1月23日至3月6日,2020,Shaanxi,Shaanxi,1,2,陕西,陕西,60,30,245,,100-100,100-100,100-100,100-100,100-100,100-100
1月23日至3月19日,2020,Inner Mongolia,Inner Mongolia,0,NA,内蒙古,内蒙古,60,30,75,,100-100,100-100,100-100,100-100,100-100,100-100
1月23日至3月25日,2020,Heilongjiang 1,Heilongjiang,1,4,黑龙江,黑龙江,60,30,482,,100-100,100-100,100-100,100-100,100-100,100-100
4月1日至5月16日,2020,Heilongjiang 2,Heilongjiang,1,4,黑龙江,黑龙江,60,30,559,,100-100,100-100,100-100,100-100,100-100,100-100
6月11日至7月20日,2020,Beijing 2,Beijing,1,1,北京,北京,60,30,335,,100-100,100-100,100-100,100-100,100-100,100-100
7月15日至9月1日,2020,Wulumuqi,Xinjiang,1,1,乌鲁木齐,新疆,60,30,748,,100-100,374.29-4114,907.9-4744.5,100-100,100-100,100-100
7月22日至8月30日,2020,Dalian,Liaoning,1,2,大连,辽宁,60,30,118,,100-100,417.6-2423.4,2815.2-9400.9,100-100,100-100,100-100
1月20日至5月2日,2020,Shanghai 1,Shanghai,1,3,上海,上海,60,30,339,,100-100,100-100,100-100,100-100,100-100,100-100
1月31日至6月8日,2020,Beijing 3,Beijing,1,4,北京,北京,60,30,420,,100-100,100-100,100-100,100-100,100-100,100-100
1月11日至3月3日,2021,Jilin 1,Jilin,1,2,吉林,吉林,60,30,280,64,100-100,100-100,100-100,100-100,100-100,100-100
7月28日至8月25日,2021,Hunan,Hunan,1,3,湖南,湖南,60,30,110,19,100-100,100-100,100-100,100-100,100-100,100-100
7月30日至8月28日,2021,Zhengzhou,Henan,0,NA,郑州,河南,60,30,81,44,100-100,595.5-3647,5039.3-24331.6,100-100,100-100,100-100
9月10日至10月8日,2021,Fujian,Fujian,1,2,福建,福建,60,30,468,125,100-100,100-100,100-100,100-100,100-100,100-100
7月21日至8月19日,2021,Nanjing,Jiangsu,1,3,南京,江苏,60,30,,922,16400-117400,864-7399.5,5903-51776,100-100,100-100,100-100
10月19日至11月17日,2021,Gansu 1,Gansu,1,3,甘肃,甘肃,60,30,144,,100-100,100-100,100-100,100-100,100-100,100-100
11月3日至11月30日,2021,Dalian 1,Liaoning,1,2,大连,辽宁,60,30,345,,100-100,441.9-2575.6,3301.6-10875.2,100-100,100-100,100-100
2月13日至5月29日,2022,Suzhou,Jiangsu,1,1,苏州,江苏,60,30,185,866,24000-122900,1661.7-7399.5,11521.4-55888.7,1291.1-8515,1291.1-8515,26000-275000
